@RELATION NFLPlayoffs

@ATTRIBUTE t1-team-type {home, away}
@ATTRIBUTE t1-playoff-seed {1,2,3,4,5,6}
@ATTRIBUTE t1-win-loss-ratio continuous
@ATTRIBUTE t1-points-per-game continuous
@ATTRIBUTE t1-points-allowed-per-game continuous
@ATTRIBUTE t1-turnover-ratio continuous
@ATTRIBUTE t1-offensive-rank continuous
@ATTRIBUTE t1-defensive-rank continuous
@ATTRIBUTE t1-kicking-and-punting-rank continuous
@ATTRIBUTE t1-kicking-and-punting-return-rank continuous
@ATTRIBUTE t1-relative-strength-of-schedule continuous
@ATTRIBUTE t1-penalties-per-game continuous
@ATTRIBUTE t1-penalty-yards-per-game continuous
@ATTRIBUTE t1-rush-yards-per-game continuous
@ATTRIBUTE t1-rush-yards-per-attempt continuous
@ATTRIBUTE t1-rush-touchdowns-per-game continuous
@ATTRIBUTE t1-pass-yards-per-game continuous
@ATTRIBUTE t1-pass-yards-per-attempt continuous
@ATTRIBUTE t1-receiving-touchdowns-per-game continuous
@ATTRIBUTE t1-1st-downs-per-game continuous
@ATTRIBUTE t1-3rd-down-conversions-pct continuous
@ATTRIBUTE t1-4th-down-conversions-pct continuous
@ATTRIBUTE t1-sacks-allowed-per-game continuous
@ATTRIBUTE t1-fumbles-per-game continuous
@ATTRIBUTE t1-fumbles-lost-per-game continuous
@ATTRIBUTE t1-interceptions-thrown-per-game continuous
@ATTRIBUTE t1-starting-qb-passer-rating continuous
@ATTRIBUTE t1-rush-yards-allowed-per-game continuous
@ATTRIBUTE t1-rush-yards-per-attempt-allowed continuous
@ATTRIBUTE t1-rush-touchdowns-allowed-per-game continuous
@ATTRIBUTE t1-pass-yards-allowed-per-game continuous
@ATTRIBUTE t1-pass-yards-allowed-per-attempt-allowed continuous
@ATTRIBUTE t1-receiving-touchdowns-allowed-per-game continuous
@ATTRIBUTE t1-1st-downs-allowed-per-game continuous
@ATTRIBUTE t1-3rd-down-conversions-allowed-pct continuous
@ATTRIBUTE t1-4th-down-conversions-allowed-pct continuous
@ATTRIBUTE t1-sacks-per-game continuous
@ATTRIBUTE t1-forced-fumble-recoveries-per-game continuous
@ATTRIBUTE t1-interceptions-per-game continuous
@ATTRIBUTE t1-defensive-touchdowns-per-game continuous
@ATTRIBUTE t1-kicker-field-goal-pct continuous
@ATTRIBUTE t1-kicker-pat-pct continuous
@ATTRIBUTE t1-avg-yardage-per-punt continuous
@ATTRIBUTE t1-percent-blocked-punts continuous
@ATTRIBUTE t1-opponent-avg-yardage-per-punt continuous
@ATTRIBUTE t1-opponent-percent-blocked-punts continuous
@ATTRIBUTE t1-kick-return-yards-per-return continuous
@ATTRIBUTE t1-kick-return-touchdowns-per-return continuous
@ATTRIBUTE t1-opponent-kick-return-yards-per-return continuous
@ATTRIBUTE t1-opponent-kick-return-touchdowns-per-return continuous
@ATTRIBUTE t1-punt-return-yards-per-return continuous
@ATTRIBUTE t1-punt-return-touchdowns-per-return continuous
@ATTRIBUTE t1-opponent-punt-return-yards-per-return continuous
@ATTRIBUTE t1-opponent-punt-return-touchdowns-per-return continuous
@ATTRIBUTE t1-stadium-altitude continuous
@ATTRIBUTE t1-stadium-type {open,dome}
@ATTRIBUTE t1-stadium-field-type {grass, turf}
@ATTRIBUTE t2-team-type {home, away}
@ATTRIBUTE t2-playoff-seed {1,2,3,4,5,6}
@ATTRIBUTE t2-win-loss-ratio continuous
@ATTRIBUTE t2-points-per-game continuous
@ATTRIBUTE t2-points-allowed-per-game continuous
@ATTRIBUTE t2-turnover-ratio continuous
@ATTRIBUTE t2-offensive-rank continuous
@ATTRIBUTE t2-defensive-rank continuous
@ATTRIBUTE t2-kicking-and-punting-rank continuous
@ATTRIBUTE t2-kicking-and-punting-return-rank continuous
@ATTRIBUTE t2-relative-strength-of-schedule continuous
@ATTRIBUTE t2-penalties-per-game continuous
@ATTRIBUTE t2-penalty-yards-per-game continuous
@ATTRIBUTE t2-rush-yards-per-game continuous
@ATTRIBUTE t2-rush-yards-per-attempt continuous
@ATTRIBUTE t2-rush-touchdowns-per-game continuous
@ATTRIBUTE t2-pass-yards-per-game continuous
@ATTRIBUTE t2-pass-yards-per-attempt continuous
@ATTRIBUTE t2-receiving-touchdowns-per-game continuous
@ATTRIBUTE t2-1st-downs-per-game continuous
@ATTRIBUTE t2-3rd-down-conversions-pct continuous
@ATTRIBUTE t2-4th-down-conversions-pct continuous
@ATTRIBUTE t2-sacks-allowed-per-game continuous
@ATTRIBUTE t2-fumbles-per-game continuous
@ATTRIBUTE t2-fumbles-lost-per-game continuous
@ATTRIBUTE t2-interceptions-thrown-per-game continuous
@ATTRIBUTE t2-starting-qb-passer-rating continuous
@ATTRIBUTE t2-rush-yards-allowed-per-game continuous
@ATTRIBUTE t2-rush-yards-per-attempt-allowed continuous
@ATTRIBUTE t2-rush-touchdowns-allowed-per-game continuous
@ATTRIBUTE t2-pass-yards-allowed-per-game continuous
@ATTRIBUTE t2-pass-yards-allowed-per-attempt-allowed continuous
@ATTRIBUTE t2-receiving-touchdowns-allowed-per-game continuous
@ATTRIBUTE t2-1st-downs-allowed-per-game continuous
@ATTRIBUTE t2-3rd-down-conversions-allowed-pct continuous
@ATTRIBUTE t2-4th-down-conversions-allowed-pct continuous
@ATTRIBUTE t2-sacks-per-game continuous
@ATTRIBUTE t2-forced-fumble-recoveries-per-game continuous
@ATTRIBUTE t2-interceptions-per-game continuous
@ATTRIBUTE t2-defensive-touchdowns-per-game continuous
@ATTRIBUTE t2-kicker-field-goal-pct continuous
@ATTRIBUTE t2-kicker-pat-pct continuous
@ATTRIBUTE t2-avg-yardage-per-punt continuous
@ATTRIBUTE t2-percent-blocked-punts continuous
@ATTRIBUTE t2-opponent-avg-yardage-per-punt continuous
@ATTRIBUTE t2-opponent-percent-blocked-punts continuous
@ATTRIBUTE t2-kick-return-yards-per-return continuous
@ATTRIBUTE t2-kick-return-touchdowns-per-return continuous
@ATTRIBUTE t2-opponent-kick-return-yards-per-return continuous
@ATTRIBUTE t2-opponent-kick-return-touchdowns-per-return continuous
@ATTRIBUTE t2-punt-return-yards-per-return continuous
@ATTRIBUTE t2-punt-return-touchdowns-per-return continuous
@ATTRIBUTE t2-opponent-punt-return-yards-per-return continuous
@ATTRIBUTE t2-opponent-punt-return-touchdowns-per-return continuous
@ATTRIBUTE t2-stadium-altitude continuous
@ATTRIBUTE t2-stadium-type {open,dome}
@ATTRIBUTE t2-stadium-field-type {grass, turf}
@ATTRIBUTE game-stadium-altitude continuous
@ATTRIBUTE game-stadium-type {open,dome}
@ATTRIBUTE game-stadium-field-type {grass,turf}
@ATTRIBUTE game-result {t1,t2}

@Data
away,6,0.625,353.0,19.7,-2.0,15.0,8.0,30.0,15.0,1.9,6.375,57.375,115.4375,4.2953488372093025,0.75,249.375,7.528301886792453,1.3125,20.625,0.447,0.308,1.5,1.0625,0.375,0.75,92.4,104.0625,4.141791044776119,0.5625,214.3125,6.200723327305606,1.3125,20.1875,0.383,0.684,2.4375,0.5,0.5,3.0,0.8717948717948718,40.137614678899084,53.0,62.0,46.63636363636363,0.0,22.333333333333332,0.0,0.0,0.0,7.444444444444445,0.0,8.136363636363637,0.0,1010,dome,turf,home,3,0.6875,478.0,20.6,7.0,1.0,12.0,4.0,1.0,-0.2,6.6875,57.625,122.0625,4.3017621145374445,1.0625,239.4375,7.395752895752896,1.75,19.4375,0.411,0.417,1.75,1.8125,0.875,0.4375,98.3,122.3125,4.681818181818182,0.9375,217.1875,6.261261261261262,1.75,18.75,0.379,0.6,3.0,0.625,1.125,5.0,0.9302325581395349,54.83870967741935,69.07545164718385,74.38894792773645,44.5125,0.0375,25.025,0.025,0.0,0.0,10.177777777777777,0.0,6.08,0.0,140,open,grass,140,open,grass,t1
home,3,0.6875,478.0,20.6,7.0,1.0,12.0,4.0,1.0,-0.2,6.6875,57.625,122.0625,4.3017621145374445,1.0625,239.4375,7.395752895752896,1.75,19.4375,0.411,0.417,1.75,1.8125,0.875,0.4375,98.3,122.3125,4.681818181818182,0.9375,217.1875,6.261261261261262,1.75,18.75,0.379,0.6,3.0,0.625,1.125,5.0,0.9302325581395349,54.83870967741935,69.07545164718385,74.38894792773645,44.5125,0.0375,25.025,0.025,0.0,0.0,10.177777777777777,0.0,6.08,0.0,140,open,grass,away,6,0.625,353.0,19.7,-2.0,15.0,8.0,30.0,15.0,1.9,6.375,57.375,115.4375,4.2953488372093025,0.75,249.375,7.528301886792453,1.3125,20.625,0.447,0.308,1.5,1.0625,0.375,0.75,92.4,104.0625,4.141791044776119,0.5625,214.3125,6.200723327305606,1.3125,20.1875,0.383,0.684,2.4375,0.5,0.5,3.0,0.8717948717948718,40.137614678899084,53.0,62.0,46.63636363636363,0.0,22.333333333333332,0.0,0.0,0.0,7.444444444444445,0.0,8.136363636363637,0.0,1010,dome,turf,140,open,grass,t2
away,5,0.5625,334.0,22.3,-4.0,19.0,17.0,9.0,18.0,-2.1,5.3125,49.0625,114.5625,4.1376975169300225,1.125,199.4375,6.433467741935484,0.875,18.125,0.351,0.5,2.1875,0.625,0.5,1.0625,77.1,88.75,3.5678391959798996,0.3125,239.25,6.327272727272727,0.875,20.1875,0.364,0.625,2.6875,0.5625,0.75,1.0,0.8333333333333334,39.61584633853541,79.87220447284345,78.80724174653888,48.22666666666667,0.0,22.071428571428573,0.0,0.0,0.0,8.472222222222221,0.0,7.15,0.0,398,open,grass,home,4,0.625,415.0,21.2,15.0,6.0,15.0,10.0,2.0,-1.3,7.375,65.25,118.9375,4.6987654320987655,0.75,256.5,7.558011049723757,1.625,20.125,0.392,0.3,2.3125,0.875,0.1875,0.5,100.8,118.125,4.266365688487585,0.9375,247.0,6.933333333333334,1.625,22.0,0.401,0.529,1.9375,0.625,1.0,3.0,0.9111111111111111,43.90779363336992,65.0,77.0,42.55555555555556,0.0,22.361702127659573,0.0,0.0,0.0,6.171428571428572,0.02857142857142857,6.833333333333333,0.0,843,open,grass,843,open,grass,t1
home,4,0.625,415.0,21.2,15.0,6.0,15.0,10.0,2.0,-1.3,7.375,65.25,118.9375,4.6987654320987655,0.75,256.5,7.558011049723757,1.625,20.125,0.392,0.3,2.3125,0.875,0.1875,0.5,100.8,118.125,4.266365688487585,0.9375,247.0,6.933333333333334,1.625,22.0,0.401,0.529,1.9375,0.625,1.0,3.0,0.9111111111111111,43.90779363336992,65.0,77.0,42.55555555555556,0.0,22.361702127659573,0.0,0.0,0.0,6.171428571428572,0.02857142857142857,6.833333333333333,0.0,843,open,grass,away,5,0.5625,334.0,22.3,-4.0,19.0,17.0,9.0,18.0,-2.1,5.3125,49.0625,114.5625,4.1376975169300225,1.125,199.4375,6.433467741935484,0.875,18.125,0.351,0.5,2.1875,0.625,0.5,1.0625,77.1,88.75,3.5678391959798996,0.3125,239.25,6.327272727272727,0.875,20.1875,0.364,0.625,2.6875,0.5625,0.75,1.0,0.8333333333333334,39.61584633853541,79.87220447284345,78.80724174653888,48.22666666666667,0.0,22.071428571428573,0.0,0.0,0.0,8.472222222222221,0.0,7.15,0.0,398,open,grass,843,open,grass,t2
home,3,0.625,415.0,16.8,10.0,5.0,2.0,1.0,25.0,-2.8,7.0,58.5,141.375,4.292220113851992,1.125,224.5625,6.817836812144212,1.3125,20.75,0.373,0.769,1.5,1.5,0.625,0.8125,84.4,116.25,4.335664335664336,0.5625,169.875,5.339882121807466,1.3125,16.0625,0.336,0.462,3.4375,0.75,1.3125,7.0,0.8571428571428571,47.84130688448075,97.5609756097561,72.06208425720621,45.57,0.0,22.04,0.0,0.0012239902080783353,0.0012239902080783353,9.558823529411764,0.029411764705882353,7.6,0.0,5,open,grass,away,6,0.5625,302.0,22.4,9.0,22.0,18.0,21.0,28.0,-0.5,6.125,54.5,126.0625,4.1416837782340865,0.75,176.5625,5.934873949579832,1.0,17.375,0.419,0.133,2.9375,1.0625,0.375,0.625,82.1,124.625,4.278969957081545,1.375,230.5,6.43630017452007,1.0,21.75,0.383,0.55,1.6875,0.4375,1.125,3.0,0.8787878787878788,32.992036405005685,79.0,60.0,43.08064516129032,0.0,20.0,0.0,0.0,0.0,8.875,0.0,5.526315789473684,0.0,789,open,turf,5,open,grass,t1
away,6,0.5625,302.0,22.4,9.0,22.0,18.0,21.0,28.0,-0.5,6.125,54.5,126.0625,4.1416837782340865,0.75,176.5625,5.934873949579832,1.0,17.375,0.419,0.133,2.9375,1.0625,0.375,0.625,82.1,124.625,4.278969957081545,1.375,230.5,6.43630017452007,1.0,21.75,0.383,0.55,1.6875,0.4375,1.125,3.0,0.8787878787878788,32.992036405005685,79.0,60.0,43.08064516129032,0.0,20.0,0.0,0.0,0.0,8.875,0.0,5.526315789473684,0.0,789,open,turf,home,3,0.625,415.0,16.8,10.0,5.0,2.0,1.0,25.0,-2.8,7.0,58.5,141.375,4.292220113851992,1.125,224.5625,6.817836812144212,1.3125,20.75,0.373,0.769,1.5,1.5,0.625,0.8125,84.4,116.25,4.335664335664336,0.5625,169.875,5.339882121807466,1.3125,16.0625,0.336,0.462,3.4375,0.75,1.3125,7.0,0.8571428571428571,47.84130688448075,97.5609756097561,72.06208425720621,45.57,0.0,22.04,0.0,0.0012239902080783353,0.0012239902080783353,9.558823529411764,0.029411764705882353,7.6,0.0,5,open,grass,5,open,grass,t2
home,4,0.6875,448.0,20.4,7.0,4.0,10.0,15.0,11.0,1.5,6.5625,60.4375,129.375,4.662162162162162,1.4375,261.8125,7.815298507462686,1.4375,20.75,0.376,0.8,1.25,1.1875,0.625,0.5,103.9,111.6875,4.401477832512315,0.6875,224.8125,6.492779783393502,1.4375,19.25,0.41,0.333,2.625,0.3125,1.25,3.0,0.8611111111111112,58.07200929152149,63.829787234042556,72.3404255319149,44.859154929577464,0.014084507042253521,22.916666666666668,0.027777777777777776,0.0,0.0,6.411764705882353,0.0,10.375,0.041666666666666664,1,dome,turf,away,5,0.6875,363.0,20.4,-1.0,12.0,11.0,23.0,8.0,2.1,5.1875,42.625,131.375,4.289795918367347,0.9375,192.3125,6.141716566866267,1.375,20.0,0.419,0.455,2.1875,1.1875,0.375,1.0,79.8,88.0625,3.991501416430595,0.4375,229.0625,6.663636363636364,1.375,17.625,0.379,0.35,3.125,0.6875,0.625,1.0,0.9666666666666667,38.26266804550155,77.25788900979325,68.55277475516866,46.18840579710145,0.0,22.352941176470587,0.029411764705882353,0.0,0.0,7.95,0.025,5.866666666666666,0.0,725,open,grass,1,dome,turf,t1
away,5,0.6875,363.0,20.4,-1.0,12.0,11.0,23.0,8.0,2.1,5.1875,42.625,131.375,4.289795918367347,0.9375,192.3125,6.141716566866267,1.375,20.0,0.419,0.455,2.1875,1.1875,0.375,1.0,79.8,88.0625,3.991501416430595,0.4375,229.0625,6.663636363636364,1.375,17.625,0.379,0.35,3.125,0.6875,0.625,1.0,0.9666666666666667,38.26266804550155,77.25788900979325,68.55277475516866,46.18840579710145,0.0,22.352941176470587,0.029411764705882353,0.0,0.0,7.95,0.025,5.866666666666666,0.0,725,open,grass,home,4,0.6875,448.0,20.4,7.0,4.0,10.0,15.0,11.0,1.5,6.5625,60.4375,129.375,4.662162162162162,1.4375,261.8125,7.815298507462686,1.4375,20.75,0.376,0.8,1.25,1.1875,0.625,0.5,103.9,111.6875,4.401477832512315,0.6875,224.8125,6.492779783393502,1.4375,19.25,0.41,0.333,2.625,0.3125,1.25,3.0,0.8611111111111112,58.07200929152149,63.829787234042556,72.3404255319149,44.859154929577464,0.014084507042253521,22.916666666666668,0.027777777777777776,0.0,0.0,6.411764705882353,0.0,10.375,0.041666666666666664,1,dome,turf,1,dome,turf,t2
home,1,0.8125,458.0,18.5,6.0,2.0,5.0,17.0,24.0,-1.2,5.9375,52.1875,118.0625,4.216517857142857,1.0,276.125,7.526405451448041,2.0,24.3125,0.406,0.615,2.1875,0.8125,0.25,0.5,102.6,114.75,4.707692307692308,0.375,251.25,6.813559322033898,2.0,20.3125,0.394,0.435,2.625,0.375,0.75,2.0,0.925,50.81081081081081,60.60606060606061,62.695924764890286,44.91044776119403,0.014925373134328358,22.214285714285715,0.03571428571428571,0.0,0.0,8.21875,0.0,4.565217391304348,0.0,264,open,turf,away,5,0.5625,334.0,22.3,-4.0,19.0,17.0,9.0,18.0,-2.1,5.3125,49.0625,114.5625,4.1376975169300225,1.125,199.4375,6.433467741935484,0.875,18.125,0.351,0.5,2.1875,0.625,0.5,1.0625,77.1,88.75,3.5678391959798996,0.3125,239.25,6.327272727272727,0.875,20.1875,0.364,0.625,2.6875,0.5625,0.75,1.0,0.8333333333333334,39.61584633853541,79.87220447284345,78.80724174653888,48.22666666666667,0.0,22.071428571428573,0.0,0.0,0.0,8.472222222222221,0.0,7.15,0.0,398,open,grass,264,open,turf,t1
away,5,0.5625,334.0,22.3,-4.0,19.0,17.0,9.0,18.0,-2.1,5.3125,49.0625,114.5625,4.1376975169300225,1.125,199.4375,6.433467741935484,0.875,18.125,0.351,0.5,2.1875,0.625,0.5,1.0625,77.1,88.75,3.5678391959798996,0.3125,239.25,6.327272727272727,0.875,20.1875,0.364,0.625,2.6875,0.5625,0.75,1.0,0.8333333333333334,39.61584633853541,79.87220447284345,78.80724174653888,48.22666666666667,0.0,22.071428571428573,0.0,0.0,0.0,8.472222222222221,0.0,7.15,0.0,398,open,grass,home,1,0.8125,458.0,18.5,6.0,2.0,5.0,17.0,24.0,-1.2,5.9375,52.1875,118.0625,4.216517857142857,1.0,276.125,7.526405451448041,2.0,24.3125,0.406,0.615,2.1875,0.8125,0.25,0.5,102.6,114.75,4.707692307692308,0.375,251.25,6.813559322033898,2.0,20.3125,0.394,0.435,2.625,0.375,0.75,2.0,0.925,50.81081081081081,60.60606060606061,62.695924764890286,44.91044776119403,0.014925373134328358,22.214285714285715,0.03571428571428571,0.0,0.0,8.21875,0.0,4.565217391304348,0.0,264,open,turf,264,open,turf,t2
home,1,0.8125,457.0,18.4,11.0,3.0,4.0,16.0,31.0,-0.7,7.25,60.125,132.1875,4.471458773784355,0.5625,233.5625,6.625886524822695,2.375,21.125,0.417,0.654,2.25,1.5625,0.6875,0.5625,97.6,79.1875,3.7596439169139466,0.4375,227.3125,6.0515806988352745,2.375,17.0,0.322,0.222,2.375,0.75,1.1875,6.0,0.8529411764705882,51.58264947245018,74.80748074807481,68.2068206820682,44.87951807228916,0.012048192771084338,19.666666666666668,0.0,0.0,0.0,8.931034482758621,0.0,6.84,0.0,11,open,grass,away,6,0.625,353.0,19.7,-2.0,15.0,8.0,30.0,15.0,1.9,6.375,57.375,115.4375,4.2953488372093025,0.75,249.375,7.528301886792453,1.3125,20.625,0.447,0.308,1.5,1.0625,0.375,0.75,92.4,104.0625,4.141791044776119,0.5625,214.3125,6.200723327305606,1.3125,20.1875,0.383,0.684,2.4375,0.5,0.5,3.0,0.8717948717948718,40.137614678899084,53.0,62.0,46.63636363636363,0.0,22.333333333333332,0.0,0.0,0.0,7.444444444444445,0.0,8.136363636363637,0.0,1010,dome,turf,11,open,grass,t1
away,6,0.625,353.0,19.7,-2.0,15.0,8.0,30.0,15.0,1.9,6.375,57.375,115.4375,4.2953488372093025,0.75,249.375,7.528301886792453,1.3125,20.625,0.447,0.308,1.5,1.0625,0.375,0.75,92.4,104.0625,4.141791044776119,0.5625,214.3125,6.200723327305606,1.3125,20.1875,0.383,0.684,2.4375,0.5,0.5,3.0,0.8717948717948718,40.137614678899084,53.0,62.0,46.63636363636363,0.0,22.333333333333332,0.0,0.0,0.0,7.444444444444445,0.0,8.136363636363637,0.0,1010,dome,turf,home,1,0.8125,457.0,18.4,11.0,3.0,4.0,16.0,31.0,-0.7,7.25,60.125,132.1875,4.471458773784355,0.5625,233.5625,6.625886524822695,2.375,21.125,0.417,0.654,2.25,1.5625,0.6875,0.5625,97.6,79.1875,3.7596439169139466,0.4375,227.3125,6.0515806988352745,2.375,17.0,0.322,0.222,2.375,0.75,1.1875,6.0,0.8529411764705882,51.58264947245018,74.80748074807481,68.2068206820682,44.87951807228916,0.012048192771084338,19.666666666666668,0.0,0.0,0.0,8.931034482758621,0.0,6.84,0.0,11,open,grass,11,open,grass,t2
home,2,0.8125,382.0,15.8,5.0,10.0,1.0,12.0,17.0,1.0,6.25,59.3125,122.3125,3.906187624750499,0.9375,234.5625,7.121442125237191,1.5625,20.875,0.435,0.143,1.6875,0.6875,0.375,0.5,99.1,83.5625,3.673076923076923,0.625,192.375,5.545945945945946,1.5625,16.25,0.252,0.391,2.3125,0.3125,0.875,2.0,0.8421052631578947,46.31828978622328,81.42201834862385,64.22018348623853,45.25581395348837,0.0,24.76,0.0,0.0,0.0,9.538461538461538,0.0,8.875,0.041666666666666664,845,dome,turf,away,4,0.6875,448.0,20.4,7.0,4.0,10.0,15.0,11.0,1.5,6.5625,60.4375,129.375,4.662162162162162,1.4375,261.8125,7.815298507462686,1.4375,20.75,0.376,0.8,1.25,1.1875,0.625,0.5,103.9,111.6875,4.401477832512315,0.6875,224.8125,6.492779783393502,1.4375,19.25,0.41,0.333,2.625,0.3125,1.25,3.0,0.8611111111111112,58.07200929152149,63.829787234042556,72.3404255319149,44.859154929577464,0.014084507042253521,22.916666666666668,0.027777777777777776,0.0,0.0,6.411764705882353,0.0,10.375,0.041666666666666664,1,dome,turf,845,dome,turf,t1
away,4,0.6875,448.0,20.4,7.0,4.0,10.0,15.0,11.0,1.5,6.5625,60.4375,129.375,4.662162162162162,1.4375,261.8125,7.815298507462686,1.4375,20.75,0.376,0.8,1.25,1.1875,0.625,0.5,103.9,111.6875,4.401477832512315,0.6875,224.8125,6.492779783393502,1.4375,19.25,0.41,0.333,2.625,0.3125,1.25,3.0,0.8611111111111112,58.07200929152149,63.829787234042556,72.3404255319149,44.859154929577464,0.014084507042253521,22.916666666666668,0.027777777777777776,0.0,0.0,6.411764705882353,0.0,10.375,0.041666666666666664,1,dome,turf,home,2,0.8125,382.0,15.8,5.0,10.0,1.0,12.0,17.0,1.0,6.25,59.3125,122.3125,3.906187624750499,0.9375,234.5625,7.121442125237191,1.5625,20.875,0.435,0.143,1.6875,0.6875,0.375,0.5,99.1,83.5625,3.673076923076923,0.625,192.375,5.545945945945946,1.5625,16.25,0.252,0.391,2.3125,0.3125,0.875,2.0,0.8421052631578947,46.31828978622328,81.42201834862385,64.22018348623853,45.25581395348837,0.0,24.76,0.0,0.0,0.0,9.538461538461538,0.0,8.875,0.041666666666666664,845,dome,turf,845,dome,turf,t2
