@RELATION NFLPlayoffs

@ATTRIBUTE t1-team-type {home, away}
@ATTRIBUTE t1-playoff-seed {1,2,3,4,5,6}
@ATTRIBUTE t1-win-loss-ratio continuous
@ATTRIBUTE t1-points-per-game continuous
@ATTRIBUTE t1-points-allowed-per-game continuous
@ATTRIBUTE t1-turnover-ratio continuous
@ATTRIBUTE t1-offensive-rank continuous
@ATTRIBUTE t1-defensive-rank continuous
@ATTRIBUTE t1-kicking-and-punting-rank continuous
@ATTRIBUTE t1-kicking-and-punting-return-rank continuous
@ATTRIBUTE t1-relative-strength-of-schedule continuous
@ATTRIBUTE t1-penalties-per-game continuous
@ATTRIBUTE t1-penalty-yards-per-game continuous
@ATTRIBUTE t1-rush-yards-per-game continuous
@ATTRIBUTE t1-rush-yards-per-attempt continuous
@ATTRIBUTE t1-rush-touchdowns-per-game continuous
@ATTRIBUTE t1-pass-yards-per-game continuous
@ATTRIBUTE t1-pass-yards-per-attempt continuous
@ATTRIBUTE t1-receiving-touchdowns-per-game continuous
@ATTRIBUTE t1-1st-downs-per-game continuous
@ATTRIBUTE t1-3rd-down-conversions-pct continuous
@ATTRIBUTE t1-4th-down-conversions-pct continuous
@ATTRIBUTE t1-sacks-allowed-per-game continuous
@ATTRIBUTE t1-fumbles-per-game continuous
@ATTRIBUTE t1-fumbles-lost-per-game continuous
@ATTRIBUTE t1-interceptions-thrown-per-game continuous
@ATTRIBUTE t1-starting-qb-passer-rating continuous
@ATTRIBUTE t1-rush-yards-allowed-per-game continuous
@ATTRIBUTE t1-rush-yards-per-attempt-allowed continuous
@ATTRIBUTE t1-rush-touchdowns-allowed-per-game continuous
@ATTRIBUTE t1-pass-yards-allowed-per-game continuous
@ATTRIBUTE t1-pass-yards-allowed-per-attempt-allowed continuous
@ATTRIBUTE t1-receiving-touchdowns-allowed-per-game continuous
@ATTRIBUTE t1-1st-downs-allowed-per-game continuous
@ATTRIBUTE t1-3rd-down-conversions-allowed-pct continuous
@ATTRIBUTE t1-4th-down-conversions-allowed-pct continuous
@ATTRIBUTE t1-sacks-per-game continuous
@ATTRIBUTE t1-forced-fumble-recoveries-per-game continuous
@ATTRIBUTE t1-interceptions-per-game continuous
@ATTRIBUTE t1-defensive-touchdowns-per-game continuous
@ATTRIBUTE t1-kicker-field-goal-pct continuous
@ATTRIBUTE t1-kicker-pat-pct continuous
@ATTRIBUTE t1-avg-yardage-per-punt continuous
@ATTRIBUTE t1-percent-blocked-punts continuous
@ATTRIBUTE t1-opponent-avg-yardage-per-punt continuous
@ATTRIBUTE t1-opponent-percent-blocked-punts continuous
@ATTRIBUTE t1-kick-return-yards-per-return continuous
@ATTRIBUTE t1-kick-return-touchdowns-per-return continuous
@ATTRIBUTE t1-opponent-kick-return-yards-per-return continuous
@ATTRIBUTE t1-opponent-kick-return-touchdowns-per-return continuous
@ATTRIBUTE t1-punt-return-yards-per-return continuous
@ATTRIBUTE t1-punt-return-touchdowns-per-return continuous
@ATTRIBUTE t1-opponent-punt-return-yards-per-return continuous
@ATTRIBUTE t1-opponent-punt-return-touchdowns-per-return continuous
@ATTRIBUTE t1-stadium-altitude continuous
@ATTRIBUTE t1-stadium-latitude continuous
@ATTRIBUTE t1-stadium-longitude continuous
@ATTRIBUTE t1-stadium-type {open,dome,retractable}
@ATTRIBUTE t1-stadium-field-type {grass, turf}
@ATTRIBUTE t2-team-type {home, away}
@ATTRIBUTE t2-playoff-seed {1,2,3,4,5,6}
@ATTRIBUTE t2-win-loss-ratio continuous
@ATTRIBUTE t2-points-per-game continuous
@ATTRIBUTE t2-points-allowed-per-game continuous
@ATTRIBUTE t2-turnover-ratio continuous
@ATTRIBUTE t2-offensive-rank continuous
@ATTRIBUTE t2-defensive-rank continuous
@ATTRIBUTE t2-kicking-and-punting-rank continuous
@ATTRIBUTE t2-kicking-and-punting-return-rank continuous
@ATTRIBUTE t2-relative-strength-of-schedule continuous
@ATTRIBUTE t2-penalties-per-game continuous
@ATTRIBUTE t2-penalty-yards-per-game continuous
@ATTRIBUTE t2-rush-yards-per-game continuous
@ATTRIBUTE t2-rush-yards-per-attempt continuous
@ATTRIBUTE t2-rush-touchdowns-per-game continuous
@ATTRIBUTE t2-pass-yards-per-game continuous
@ATTRIBUTE t2-pass-yards-per-attempt continuous
@ATTRIBUTE t2-receiving-touchdowns-per-game continuous
@ATTRIBUTE t2-1st-downs-per-game continuous
@ATTRIBUTE t2-3rd-down-conversions-pct continuous
@ATTRIBUTE t2-4th-down-conversions-pct continuous
@ATTRIBUTE t2-sacks-allowed-per-game continuous
@ATTRIBUTE t2-fumbles-per-game continuous
@ATTRIBUTE t2-fumbles-lost-per-game continuous
@ATTRIBUTE t2-interceptions-thrown-per-game continuous
@ATTRIBUTE t2-starting-qb-passer-rating continuous
@ATTRIBUTE t2-rush-yards-allowed-per-game continuous
@ATTRIBUTE t2-rush-yards-per-attempt-allowed continuous
@ATTRIBUTE t2-rush-touchdowns-allowed-per-game continuous
@ATTRIBUTE t2-pass-yards-allowed-per-game continuous
@ATTRIBUTE t2-pass-yards-allowed-per-attempt-allowed continuous
@ATTRIBUTE t2-receiving-touchdowns-allowed-per-game continuous
@ATTRIBUTE t2-1st-downs-allowed-per-game continuous
@ATTRIBUTE t2-3rd-down-conversions-allowed-pct continuous
@ATTRIBUTE t2-4th-down-conversions-allowed-pct continuous
@ATTRIBUTE t2-sacks-per-game continuous
@ATTRIBUTE t2-forced-fumble-recoveries-per-game continuous
@ATTRIBUTE t2-interceptions-per-game continuous
@ATTRIBUTE t2-defensive-touchdowns-per-game continuous
@ATTRIBUTE t2-kicker-field-goal-pct continuous
@ATTRIBUTE t2-kicker-pat-pct continuous
@ATTRIBUTE t2-avg-yardage-per-punt continuous
@ATTRIBUTE t2-percent-blocked-punts continuous
@ATTRIBUTE t2-opponent-avg-yardage-per-punt continuous
@ATTRIBUTE t2-opponent-percent-blocked-punts continuous
@ATTRIBUTE t2-kick-return-yards-per-return continuous
@ATTRIBUTE t2-kick-return-touchdowns-per-return continuous
@ATTRIBUTE t2-opponent-kick-return-yards-per-return continuous
@ATTRIBUTE t2-opponent-kick-return-touchdowns-per-return continuous
@ATTRIBUTE t2-punt-return-yards-per-return continuous
@ATTRIBUTE t2-punt-return-touchdowns-per-return continuous
@ATTRIBUTE t2-opponent-punt-return-yards-per-return continuous
@ATTRIBUTE t2-opponent-punt-return-touchdowns-per-return continuous
@ATTRIBUTE t2-stadium-altitude continuous
@ATTRIBUTE t2-stadium-latitude continuous
@ATTRIBUTE t2-stadium-longitude continuous
@ATTRIBUTE t2-stadium-type {open,dome,retractable}
@ATTRIBUTE t2-stadium-field-type {grass, turf}
@ATTRIBUTE game-stadium-altitude continuous
@ATTRIBUTE game-stadium-latitude continuous
@ATTRIBUTE game-stadium-longitude continuous
@ATTRIBUTE game-stadium-type {open,dome,retractable}
@ATTRIBUTE game-stadium-field-type {grass,turf}
@ATTRIBUTE game-result {t1,t2}

@Data
home,4,0.8125,24.5,20.3,18.0,7.0,15.0,5.0,28.0,-3.2,7.125,66.8125,113.1875,3.945533769063181,1.1875,217.8125,6.612903225806452,1.4375,18.375,0.382,0.583,1.5625,1.0625,0.5625,0.8125,83.1,96.875,4.046997389033942,0.5,230.9375,6.63375224416517,1.4375,18.75,0.35,0.286,3.375,1.5,1.0,395.0,0.84,51.19047619047619,90.0,78.0,42.9,0.0,18.607142857142858,0.0,0.0012531328320802004,0.0012531328320802004,8.95,0.025,7.444444444444445,0.0,398,36.166,-86.771,open,grass,away,5,0.6875,20.0,14.3,-6.0,16.0,2.0,25.0,31.0,1.5,6.0625,49.3125,127.5,3.930635838150289,0.75,205.8125,6.419103313840156,1.3125,19.5625,0.408,0.524,1.6875,1.0625,0.6875,1.0,78.1,85.625,3.366093366093366,0.5625,167.1875,5.286561264822135,1.3125,15.25,0.309,0.333,2.3125,0.5625,0.75,321.0,0.7352941176470589,44.89795918367347,73.0,60.0,41.69892473118279,0.0,19.627450980392158,0.0196078431372549,0.0,0.0,10.205882352941176,0.0,9.826086956521738,0.0,789,42.773999999999994,-78.78699999999999,open,turf,398,36.166,-86.771,open,grass,t1
away,5,0.6875,20.0,14.3,-6.0,16.0,2.0,25.0,31.0,1.5,6.0625,49.3125,127.5,3.930635838150289,0.75,205.8125,6.419103313840156,1.3125,19.5625,0.408,0.524,1.6875,1.0625,0.6875,1.0,78.1,85.625,3.366093366093366,0.5625,167.1875,5.286561264822135,1.3125,15.25,0.309,0.333,2.3125,0.5625,0.75,321.0,0.7352941176470589,44.89795918367347,73.0,60.0,41.69892473118279,0.0,19.627450980392158,0.0196078431372549,0.0,0.0,10.205882352941176,0.0,9.826086956521738,0.0,789,42.773999999999994,-78.78699999999999,open,turf,home,4,0.8125,24.5,20.3,18.0,7.0,15.0,5.0,28.0,-3.2,7.125,66.8125,113.1875,3.945533769063181,1.1875,217.8125,6.612903225806452,1.4375,18.375,0.382,0.583,1.5625,1.0625,0.5625,0.8125,83.1,96.875,4.046997389033942,0.5,230.9375,6.63375224416517,1.4375,18.75,0.35,0.286,3.375,1.5,1.0,395.0,0.84,51.19047619047619,90.0,78.0,42.9,0.0,18.607142857142858,0.0,0.0012531328320802004,0.0012531328320802004,8.95,0.025,7.444444444444445,0.0,398,36.166,-86.771,open,grass,398,36.166,-86.771,open,grass,t2
home,3,0.625,27.7,23.6,12.0,2.0,24.0,8.0,16.0,-1.3,6.5,50.5,127.4375,4.403887688984881,1.4375,245.375,7.31098696461825,1.625,21.125,0.379,0.5,1.9375,1.9375,0.6875,0.875,89.5,123.3125,4.494305239179955,1.0,233.25,6.33616298811545,1.625,20.125,0.392,0.524,2.5,0.8125,1.5,447.0,0.6875,72.67441860465117,72.44897959183673,58.16326530612245,42.7027027027027,0.0,20.476190476190474,0.015873015873015872,0.000564334085778781,0.000564334085778781,8.097560975609756,0.0,10.333333333333334,0.07407407407407407,318,38.908,-76.865,open,grass,away,6,0.5,20.1,20.2,10.0,15.0,14.0,16.0,10.0,2.0,6.875,62.1875,77.8125,3.497191011235955,0.5,230.375,6.60573476702509,1.375,16.8125,0.365,0.353,4.0,1.3125,0.5,0.875,83.9,95.6875,3.895674300254453,0.75,235.0,6.550522648083624,1.375,19.0625,0.394,0.308,3.125,1.0,1.0,326.0,0.8125,35.67035670356704,89.02691511387164,64.18219461697723,42.0,0.0,20.069444444444443,0.0,0.0008051529790660225,0.0008051529790660225,10.157894736842104,0.02631578947368421,9.571428571428571,0.0,899,42.646,-83.25399999999999,dome,turf,318,38.908,-76.865,open,grass,t1
away,6,0.5,20.1,20.2,10.0,15.0,14.0,16.0,10.0,2.0,6.875,62.1875,77.8125,3.497191011235955,0.5,230.375,6.60573476702509,1.375,16.8125,0.365,0.353,4.0,1.3125,0.5,0.875,83.9,95.6875,3.895674300254453,0.75,235.0,6.550522648083624,1.375,19.0625,0.394,0.308,3.125,1.0,1.0,326.0,0.8125,35.67035670356704,89.02691511387164,64.18219461697723,42.0,0.0,20.069444444444443,0.0,0.0008051529790660225,0.0008051529790660225,10.157894736842104,0.02631578947368421,9.571428571428571,0.0,899,42.646,-83.25399999999999,dome,turf,home,3,0.625,27.7,23.6,12.0,2.0,24.0,8.0,16.0,-1.3,6.5,50.5,127.4375,4.403887688984881,1.4375,245.375,7.31098696461825,1.625,21.125,0.379,0.5,1.9375,1.9375,0.6875,0.875,89.5,123.3125,4.494305239179955,1.0,233.25,6.33616298811545,1.625,20.125,0.392,0.524,2.5,0.8125,1.5,447.0,0.6875,72.67441860465117,72.44897959183673,58.16326530612245,42.7027027027027,0.0,20.476190476190474,0.015873015873015872,0.000564334085778781,0.000564334085778781,8.097560975609756,0.0,10.333333333333334,0.07407407407407407,318,38.908,-76.865,open,grass,318,38.908,-76.865,open,grass,t2
away,6,0.5625,20.4,21.0,-6.0,13.0,19.0,7.0,4.0,2.5,6.9375,58.5,90.8125,3.2651685393258427,0.5,217.8125,5.916808149405773,1.25,17.9375,0.342,0.571,2.3125,1.4375,0.8125,1.3125,71.5,92.25,3.5738498789346247,0.375,183.0,6.049586776859504,1.25,15.75,0.288,0.5,2.4375,0.625,1.125,328.0,0.8478260869565217,31.839622641509436,81.0,63.0,41.09411764705882,0.0,23.791666666666668,0.0,0.00078003120124805,0.00078003120124805,9.818181818181818,0.0,10.095238095238095,0.0,9,25.958000000000002,-80.23899999999999,open,grass,home,3,0.5625,21.1,18.6,3.0,12.0,8.0,6.0,26.0,2.0,6.125,55.1875,88.0,3.450980392156863,0.3125,212.3125,6.47047619047619,1.5625,17.25,0.324,0.25,2.375,1.9375,1.0625,1.0,79.8,120.875,3.9958677685950414,0.5625,218.25,6.0,1.5625,19.5625,0.37,0.444,2.375,0.375,1.875,340.0,0.85,37.64705882352941,84.0,59.0,42.0,0.0,22.75,0.0,0.0,0.0,13.966666666666667,0.03333333333333333,10.277777777777779,0.027777777777777776,104,47.595,-122.33200000000001,dome,turf,104,47.595,-122.33200000000001,dome,turf,t1
home,3,0.5625,21.1,18.6,3.0,12.0,8.0,6.0,26.0,2.0,6.125,55.1875,88.0,3.450980392156863,0.3125,212.3125,6.47047619047619,1.5625,17.25,0.324,0.25,2.375,1.9375,1.0625,1.0,79.8,120.875,3.9958677685950414,0.5625,218.25,6.0,1.5625,19.5625,0.37,0.444,2.375,0.375,1.875,340.0,0.85,37.64705882352941,84.0,59.0,42.0,0.0,22.75,0.0,0.0,0.0,13.966666666666667,0.03333333333333333,10.277777777777779,0.027777777777777776,104,47.595,-122.33200000000001,dome,turf,away,6,0.5625,20.4,21.0,-6.0,13.0,19.0,7.0,4.0,2.5,6.9375,58.5,90.8125,3.2651685393258427,0.5,217.8125,5.916808149405773,1.25,17.9375,0.342,0.571,2.3125,1.4375,0.8125,1.3125,71.5,92.25,3.5738498789346247,0.375,183.0,6.049586776859504,1.25,15.75,0.288,0.5,2.4375,0.625,1.125,328.0,0.8478260869565217,31.839622641509436,81.0,63.0,41.09411764705882,0.0,23.791666666666668,0.0,0.00078003120124805,0.00078003120124805,9.818181818181818,0.0,10.095238095238095,0.0,9,25.958000000000002,-80.23899999999999,open,grass,104,47.595,-122.33200000000001,dome,turf,t2
home,4,0.625,24.9,20.9,-10.0,5.0,18.0,28.0,20.0,0.4,7.125,59.6875,112.75,4.274881516587678,0.8125,249.3125,7.526415094339622,2.0,20.25,0.436,0.545,2.6875,1.5,1.1875,1.3125,89.3,101.0625,3.9152542372881354,0.5625,248.75,6.567656765676568,2.0,20.0,0.392,0.533,2.875,1.125,0.75,400.0,0.6333333333333333,72.66982622432859,61.0,75.0,41.405797101449274,0.0,22.814285714285713,0.02857142857142857,0.0,0.0,8.40625,0.03125,8.785714285714286,0.0,845,44.974,-93.258,dome,turf,away,5,0.5,22.0,17.3,10.0,11.0,5.0,11.0,23.0,-1.6,8.5,74.75,128.1875,4.1602434077079105,1.0,195.4375,6.167652859960552,1.25,18.4375,0.353,0.353,1.5,1.375,0.625,0.8125,80.0,90.125,3.4580335731414866,0.375,212.375,6.234862385321101,1.25,16.625,0.321,0.444,2.1875,0.5625,1.5,357.0,0.6129032258064516,66.88417618270799,81.0,64.0,41.204301075268816,0.0,23.655172413793103,0.0,0.0,0.0,10.731707317073171,0.024390243902439025,10.674418604651162,0.023255813953488372,445,32.84,-96.911,open,turf,845,44.974,-93.258,dome,turf,t1
away,5,0.5,22.0,17.3,10.0,11.0,5.0,11.0,23.0,-1.6,8.5,74.75,128.1875,4.1602434077079105,1.0,195.4375,6.167652859960552,1.25,18.4375,0.353,0.353,1.5,1.375,0.625,0.8125,80.0,90.125,3.4580335731414866,0.375,212.375,6.234862385321101,1.25,16.625,0.321,0.444,2.1875,0.5625,1.5,357.0,0.6129032258064516,66.88417618270799,81.0,64.0,41.204301075268816,0.0,23.655172413793103,0.0,0.0,0.0,10.731707317073171,0.024390243902439025,10.674418604651162,0.023255813953488372,445,32.84,-96.911,open,turf,home,4,0.625,24.9,20.9,-10.0,5.0,18.0,28.0,20.0,0.4,7.125,59.6875,112.75,4.274881516587678,0.8125,249.3125,7.526415094339622,2.0,20.25,0.436,0.545,2.6875,1.5,1.1875,1.3125,89.3,101.0625,3.9152542372881354,0.5625,248.75,6.567656765676568,2.0,20.0,0.392,0.533,2.875,1.125,0.75,400.0,0.6333333333333333,72.66982622432859,61.0,75.0,41.405797101449274,0.0,22.814285714285713,0.02857142857142857,0.0,0.0,8.40625,0.03125,8.785714285714286,0.0,845,44.974,-93.258,dome,turf,845,44.974,-93.258,dome,turf,t2
home,1,0.875,24.8,13.6,12.0,6.0,1.0,10.0,30.0,-4.8,5.625,47.1875,130.6875,4.0680933852140075,1.25,218.4375,6.5327102803738315,1.0,20.6875,0.402,0.5,2.25,1.125,0.4375,0.6875,82.3,90.25,3.871313672922252,0.375,180.625,5.547024952015355,1.0,15.5,0.333,0.25,3.5625,0.6875,1.1875,400.0,0.8157894736842105,45.34313725490196,78.0,83.0,41.395833333333336,0.0,19.152173913043477,0.021739130434782608,0.0,0.0,10.266666666666667,0.022222222222222223,7.142857142857143,0.0,5,30.324,-81.637,open,grass,away,6,0.5625,20.4,21.0,-6.0,13.0,19.0,7.0,4.0,2.5,6.9375,58.5,90.8125,3.2651685393258427,0.5,217.8125,5.916808149405773,1.25,17.9375,0.342,0.571,2.3125,1.4375,0.8125,1.3125,71.5,92.25,3.5738498789346247,0.375,183.0,6.049586776859504,1.25,15.75,0.288,0.5,2.4375,0.625,1.125,328.0,0.8478260869565217,31.839622641509436,81.0,63.0,41.09411764705882,0.0,23.791666666666668,0.0,0.00078003120124805,0.00078003120124805,9.818181818181818,0.0,10.095238095238095,0.0,9,25.958000000000002,-80.23899999999999,open,grass,5,30.324,-81.637,open,grass,t1
away,6,0.5625,20.4,21.0,-6.0,13.0,19.0,7.0,4.0,2.5,6.9375,58.5,90.8125,3.2651685393258427,0.5,217.8125,5.916808149405773,1.25,17.9375,0.342,0.571,2.3125,1.4375,0.8125,1.3125,71.5,92.25,3.5738498789346247,0.375,183.0,6.049586776859504,1.25,15.75,0.288,0.5,2.4375,0.625,1.125,328.0,0.8478260869565217,31.839622641509436,81.0,63.0,41.09411764705882,0.0,23.791666666666668,0.0,0.00078003120124805,0.00078003120124805,9.818181818181818,0.0,10.095238095238095,0.0,9,25.958000000000002,-80.23899999999999,open,grass,home,1,0.875,24.8,13.6,12.0,6.0,1.0,10.0,30.0,-4.8,5.625,47.1875,130.6875,4.0680933852140075,1.25,218.4375,6.5327102803738315,1.0,20.6875,0.402,0.5,2.25,1.125,0.4375,0.6875,82.3,90.25,3.871313672922252,0.375,180.625,5.547024952015355,1.0,15.5,0.333,0.25,3.5625,0.6875,1.1875,400.0,0.8157894736842105,45.34313725490196,78.0,83.0,41.395833333333336,0.0,19.152173913043477,0.021739130434782608,0.0,0.0,10.266666666666667,0.022222222222222223,7.142857142857143,0.0,5,30.324,-81.637,open,grass,5,30.324,-81.637,open,grass,t2
