@RELATION NFLPlayoffs

@ATTRIBUTE t1-team-type {home, away}
@ATTRIBUTE t1-win-loss-ratio continuous
@ATTRIBUTE t1-points-per-game continuous
@ATTRIBUTE t1-points-allowed-per-game continuous
@ATTRIBUTE t1-turnover-ratio continuous
@ATTRIBUTE t1-offensive-rank continuous
@ATTRIBUTE t1-defensive-rank continuous
@ATTRIBUTE t1-kicking-and-punting-rank continuous
@ATTRIBUTE t1-kicking-and-punting-return-rank continuous
@ATTRIBUTE t1-relative-strength-of-schedule continuous
@ATTRIBUTE t2-team-type {home, away}
@ATTRIBUTE t2-win-loss-ratio continuous
@ATTRIBUTE t2-points-per-game continuous
@ATTRIBUTE t2-points-allowed-per-game continuous
@ATTRIBUTE t2-turnover-ratio continuous
@ATTRIBUTE t2-offensive-rank continuous
@ATTRIBUTE t2-defensive-rank continuous
@ATTRIBUTE t2-kicking-and-punting-rank continuous
@ATTRIBUTE t2-kicking-and-punting-return-rank continuous
@ATTRIBUTE t2-relative-strength-of-schedule continuous
@ATTRIBUTE game-result {t1,t2}

@Data
home,0.8125,24.5,20.3,18.0,7.0,15.0,5.0,28.0,-3.2,away,0.6875,20.0,14.3,-6.0,16.0,2.0,25.0,31.0,1.5,t1
away,0.6875,20.0,14.3,-6.0,16.0,2.0,25.0,31.0,1.5,home,0.8125,24.5,20.3,18.0,7.0,15.0,5.0,28.0,-3.2,t2
home,0.625,27.7,23.6,12.0,2.0,24.0,8.0,16.0,-1.3,away,0.5,20.1,20.2,10.0,15.0,14.0,16.0,10.0,2.0,t1
away,0.5,20.1,20.2,10.0,15.0,14.0,16.0,10.0,2.0,home,0.625,27.7,23.6,12.0,2.0,24.0,8.0,16.0,-1.3,t2
away,0.5625,20.4,21.0,-6.0,13.0,19.0,7.0,4.0,2.5,home,0.5625,21.1,18.6,3.0,12.0,8.0,6.0,26.0,2.0,t1
home,0.5625,21.1,18.6,3.0,12.0,8.0,6.0,26.0,2.0,away,0.5625,20.4,21.0,-6.0,13.0,19.0,7.0,4.0,2.5,t2
home,0.625,24.9,20.9,-10.0,5.0,18.0,28.0,20.0,0.4,away,0.5,22.0,17.3,10.0,11.0,5.0,11.0,23.0,-1.6,t1
away,0.5,22.0,17.3,10.0,11.0,5.0,11.0,23.0,-1.6,home,0.625,24.9,20.9,-10.0,5.0,18.0,28.0,20.0,0.4,t2
home,0.875,24.8,13.6,12.0,6.0,1.0,10.0,30.0,-4.8,away,0.5625,20.4,21.0,-6.0,13.0,19.0,7.0,4.0,2.5,t1
away,0.5625,20.4,21.0,-6.0,13.0,19.0,7.0,4.0,2.5,home,0.875,24.8,13.6,12.0,6.0,1.0,10.0,30.0,-4.8,t2
home,0.6875,16.9,14.7,-4.0,27.0,3.0,20.0,27.0,0.4,away,0.625,27.7,23.6,12.0,2.0,24.0,8.0,16.0,-1.3,t1
away,0.625,27.7,23.6,12.0,2.0,24.0,8.0,16.0,-1.3,home,0.6875,16.9,14.7,-4.0,27.0,3.0,20.0,27.0,0.4,t2
home,0.8125,32.9,15.1,5.0,1.0,4.0,12.0,15.0,-5.9,away,0.625,24.9,20.9,-10.0,5.0,18.0,28.0,20.0,0.4,t1
away,0.625,24.9,20.9,-10.0,5.0,18.0,28.0,20.0,0.4,home,0.8125,32.9,15.1,5.0,1.0,4.0,12.0,15.0,-5.9,t2
away,0.8125,24.5,20.3,18.0,7.0,15.0,5.0,28.0,-3.2,home,0.8125,26.4,20.8,-5.0,3.0,17.0,24.0,14.0,0.5,t1
home,0.8125,26.4,20.8,-5.0,3.0,17.0,24.0,14.0,0.5,away,0.8125,24.5,20.3,18.0,7.0,15.0,5.0,28.0,-3.2,t2
home,0.8125,32.9,15.1,5.0,1.0,4.0,12.0,15.0,-5.9,away,0.6875,16.9,14.7,-4.0,27.0,3.0,20.0,27.0,0.4,t1
away,0.6875,16.9,14.7,-4.0,27.0,3.0,20.0,27.0,0.4,home,0.8125,32.9,15.1,5.0,1.0,4.0,12.0,15.0,-5.9,t2
away,0.8125,24.5,20.3,18.0,7.0,15.0,5.0,28.0,-3.2,home,0.875,24.8,13.6,12.0,6.0,1.0,10.0,30.0,-4.8,t1
home,0.875,24.8,13.6,12.0,6.0,1.0,10.0,30.0,-4.8,away,0.8125,24.5,20.3,18.0,7.0,15.0,5.0,28.0,-3.2,t2
away,0.8125,32.9,15.1,5.0,1.0,4.0,12.0,15.0,-5.9,away,0.8125,24.5,20.3,18.0,7.0,15.0,5.0,28.0,-3.2,t1
away,0.8125,24.5,20.3,18.0,7.0,15.0,5.0,28.0,-3.2,away,0.8125,32.9,15.1,5.0,1.0,4.0,12.0,15.0,-5.9,t2
home,0.6875,20.2,14.1,15.0,16.0,3.0,3.0,28.0,1.0,away,0.625,26.8,20.4,-7.0,4.0,15.0,23.0,22.0,1.5,t1
away,0.625,26.8,20.4,-7.0,4.0,15.0,23.0,22.0,1.5,home,0.6875,20.2,14.1,15.0,16.0,3.0,3.0,28.0,1.0,t2
home,0.625,22.1,19.1,9.0,10.0,10.0,20.0,17.0,-2.2,away,0.625,33.8,29.4,-10.0,1.0,31.0,29.0,6.0,-1.2,t1
away,0.625,33.8,29.4,-10.0,1.0,31.0,29.0,6.0,-1.2,home,0.625,22.1,19.1,9.0,10.0,10.0,20.0,17.0,-2.2,t2
home,0.6875,21.9,15.3,2.0,12.0,4.0,5.0,30.0,-3.6,away,0.625,24.3,16.8,17.0,6.0,8.0,2.0,24.0,-0.1,t1
away,0.625,24.3,16.8,17.0,6.0,8.0,2.0,24.0,-0.1,home,0.6875,21.9,15.3,2.0,12.0,4.0,5.0,30.0,-3.6,t2
